# YakuLingo - Glossary File,
# Format: source_term,translated_term (variants separated by |),scope(optional: occurrence/cell-exact)
千台,k units
車両変動利益計,Total Vehicle Variable Profit|VP (Veh.) Total
変動利益/固定費通期推移,VP / FC Annual Trend
車種別台当り変動利益,VP per unit by car model
車種別台当り変動利益（環境規制費用反映後）,VP per unit by car model (after environmental cost)
車種別仕向地別変動利益単価,VP per unit by Car Model / Market
変動利益単価推移,VP per unit Trend
対 FY25/3 1H,vs. FY25/3 1H
対 FY25/3 1Q,vs. FY25/3 Q1
対 FY25/3 4Q,vs. FY25/3 Q4
対 FY26/3 1Q,vs. FY26/3 Q1
VS 前4Q,vs. prev. Q4
出荷台数,W/S Vol.
車種別仕向地別出荷台数,W/S vol. by Car Model / Market
品質関連費用,Warranty exp.|warranty exp.,occurrence
品質関連費用(対策),Warranty exp. (meas.)
品質費用(対策),Warr. exp. (meas.)
出荷台数(千台),Wholesales (k units)
YOY：為替影響等含む,"YOY：Incl. FX impact, etc."
財務本部,Financial Services Division
重点対応事項,Main Topics
資金関連,Finance-related matter
3カ月超定期預金,time deposits over 3 months
資金調達,Funding
経理関連,Accounting-related matter
【各部門課題対応】,【Issues handling by each Dept】
財務企画・IR,"Financial Planning, IR"
財務統制,Financial Control
国内販社財務,Domestic DLR Finance
業務変革(集約),Biz transformation (integration)
ガイトン,Guyton
フリーCF,FCF
フリー・キャッシュ・フロー,FCF
フリーキャッシュフロー,FCF
決算速報,PL Flash report
決算の速報,PL Flash report
PL確報,final PL report
決算の確報,final PL report
あずさ,AZSA
あずさ監査法人,AZSA
当期純利益,PAT
税引き前当期純利益,PBT
税引前当期純利益,PBT
見通し,FCST
1月,Jan.
2月,Feb.
3月,Mar.
4月,Apr.
5月,May
6月,Jun.
7月,Jul.
8月,Aug.
9月,Sep.
10月,Oct.
11月,Nov.
12月,Dec.
毛籠,Moro
親会社,parent
関係会社,affil.
単価改善,per-unit price improvement
台当り車両変動利益単価,Vehicle Variable Profit per Unit|VP (Veh.) per unit
車両変動利益単価,Vehicle Variable Profit per Unit|VP (Veh.) per unit
キャッシュフロー/資金調達,Cash Flow / Financing
台数・構成,Vol./Mix
当期利益,Net Income
増収減益,higher revenue & lower profit
キャッシュフロー,Cash Flow
米国N/W,U.S. N/W
原材料価格,Raw material prices
環境規制対応,Env. reg. compliance
業績見通し,Earnings Fcst.
公表案,Proposed Announcement
グローバル販売台数,Global Sales Vol.
第3四半期累計,Q3 cum
単体,non-consolidated
営業外損益,Non-operating Income (Expenses)
為替差損益,FX Gains/Losses
評価替/決済差,Revaluation/Settlement Diff.
予約,Forward Contracts,cell-exact
利息ほか,Interest & Other
期末レート,Period-end Rate
特別損益,Extraordinary Income (Losses)
資産処分及び減損,Asset Disposals & Impairment
特別退職費用,Special Retirement Expenses
投資有価証券評価損,Valuation Loss on Investment Securities
税金費用,Tax Expenses
課税所得,Taxable Income
法人税等,Corporate Income Taxes
連結税引前利益,Consol. PBT
連結当期純利益,Consol. PAT
非支配株主帰属利益,Profit Attributable to Non-controlling Interests
東京証券取引所,Tokyo Stock Exchange
決算短信,Financial Results Summary
